GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
User Service,com.blogsite.userservice.service,UserService,22,79,0,4,4,20,2,5,2,3
User Service,com.blogsite.userservice,UserServiceApplication,20,3,0,0,7,1,1,1,1,1
User Service,com.blogsite.userservice.model,User.UserBuilder,16,49,0,0,0,1,1,8,1,8
User Service,com.blogsite.userservice.model,User,40,273,27,27,0,15,23,25,0,21
User Service,com.blogsite.userservice.exception,GlobalExceptionHandler,0,130,0,0,0,27,0,5,0,5
User Service,com.blogsite.userservice.exception,UserAlreadyExistsException,3,7,0,0,0,3,1,1,1,1
User Service,com.blogsite.userservice.controller,UserController,0,41,0,0,0,9,0,5,0,5
User Service,com.blogsite.userservice.dto,UserRegistrationRequest,27,144,18,12,0,7,15,13,0,13
User Service,com.blogsite.userservice.dto,UserResponse,41,234,28,18,0,16,23,18,0,18
User Service,com.blogsite.userservice.dto,UserRegistrationRequest.UserRegistrationRequestBuilder,8,28,0,0,0,1,1,5,1,5
User Service,com.blogsite.userservice.dto,UserResponse.UserResponseBuilder,13,42,0,0,0,1,1,7,1,7
